2023/10/30/7:57:11.369151,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.379294,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.389392,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.399482,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.409573,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.419696,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.429826,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.439925,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.450031,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.460187,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.470331,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.480438,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.490545,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.500644,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.510758,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.520879,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.530960,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.541045,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
2023/10/30/7:57:11.551148,0,0,0,0,0,0,0,0.00,0.00,0,0,00,0,0,0,0,0,0.00,0.000,0,0,0,0.00,0,0.00,0,0,0.00,0.000.000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,
